session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,10000,0.8,0.0063944198618978015,1208,0.13726970023256685,0.2591059602649007
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,30000,0.8,0.0063944198618978015,522,0.1668999262884311,0.38697318007662834
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,1000,0.9,0.08411564308479352,2556,0.09213825489830056,0.11619718309859155
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,2000,0.9,0.08411564308479352,1883,0.11723982539189598,0.16038236856080723
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,5000,0.9,0.08411564308479352,1267,0.1486904529646873,0.23993685872138912
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,10000,0.9,0.08411564308479352,866,0.18024267852019624,0.3117782909930716
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,30000,0.9,0.08411564308479352,429,0.2224844804679103,0.43356643356643354
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,1000,0.95,0.19592514614549106,1266,0.1510494990264517,0.16587677725118483
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,2000,0.95,0.19592514614549106,1026,0.19042548971559484,0.21929824561403508
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,5000,0.95,0.19592514614549106,788,0.2300437116702409,0.30076142131979694
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,10000,0.95,0.19592514614549106,594,0.24468658119561326,0.35353535353535354
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,30000,0.95,0.19592514614549106,343,0.39658085685506106,0.5043731778425656
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,1000,0.8,0.6869236038307511,4793,0.10763077509109957,0.17713331942416025
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,2000,0.8,0.6869236038307511,2966,0.18160707966107137,0.2869184086311531
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,5000,0.8,0.6869236038307511,1675,0.30451242460844274,0.4435820895522388
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,10000,0.8,0.6869236038307511,1097,0.3687025282906642,0.5177757520510483
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,30000,0.8,0.6869236038307511,516,0.3445414866350283,0.5523255813953488
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,1000,0.9,0.7988586591343193,2658,0.14290962733411947,0.22121896162528218
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,2000,0.9,0.7988586591343193,1738,0.22390908396535583,0.34004602991944766
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,5000,0.9,0.7988586591343193,1088,0.3655436145584277,0.4944852941176471
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,10000,0.9,0.7988586591343193,777,0.4525456147825645,0.5791505791505791
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,30000,0.9,0.7988586591343193,418,0.3662553501416616,0.562200956937799
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,1000,0.95,0.8754034916921162,1466,0.16148103187614252,0.24556616643929058
