session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,30000,0.9,1.0,714,0.012064697607581736,0.0,0.3025210084033613,0.7086119724965056
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,100,0.95,1.0,17370,0.002647746364821397,0.0,0.005066206102475533,0.003907824245974343
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,200,0.95,1.0,17370,0.0037335987559082187,0.0,0.008117443868739206,0.007147221939966502
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,500,0.95,1.0,17369,0.005217497240558544,0.0,0.01773274224192527,0.017223237199657657
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,1000,0.95,1.0,17369,0.009870425839164178,0.0,0.030859577408025793,0.033068851159720546
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,2000,0.95,1.0,9633,0.01025696300682825,0.0,0.04962109415550711,0.062375795175576856
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,5000,0.95,1.0,4115,0.021830178677534694,0.0,0.10230862697448359,0.150690615482549
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,10000,0.95,1.0,2107,0.005832176394000956,0.0,0.15757000474608449,0.2779195255774147
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,30000,0.95,1.0,714,0.012064697607581736,0.0,0.3025210084033613,0.7086119724965056
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,100,0.8,5.033966445286534e-07,6316,0.027771645310972187,0.0,0.03214059531348955,0.028479229193685757
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,200,0.8,5.033966445286534e-07,6316,0.029875949007291888,0.0,0.0383153894870171,0.035850717285317954
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,500,0.8,5.033966445286534e-07,6316,0.03437690212447375,0.0,0.05145661811272958,0.049577158018222635
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,1000,0.8,5.033966445286534e-07,6316,0.04442473319486279,0.0,0.07504749841671944,0.07043777904359835
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,2000,0.8,5.033966445286534e-07,4052,0.06317725313023496,0.0,0.11747285291214216,0.11931244662564058
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,5000,0.8,5.033966445286534e-07,2169,0.11046816034989987,0.0,0.19778699861687413,0.23642119097081984
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,10000,0.8,5.033966445286534e-07,1319,0.18316899630218023,0.0,0.2850644427596664,0.39997915971141024
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,30000,0.8,5.033966445286534e-07,545,0.27661261828228983,0.0,0.41651376146788993,0.8327878918538651
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,100,0.9,7.383333472334293e-07,4585,0.0402817608138342,0.0,0.04689203925845147,0.04147549340851469
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,200,0.9,7.383333472334293e-07,4585,0.0436026151786986,0.0,0.05474372955288986,0.050207353343614695
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,500,0.9,7.383333472334293e-07,4585,0.04868802207653402,0.0,0.06957470010905126,0.06505387872450683
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,1000,0.9,7.383333472334293e-07,4585,0.061138304145086024,0.0,0.09487459105779716,0.08902137826309153
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,2000,0.9,7.383333472334293e-07,3318,0.07980832039983143,0.0,0.1350210970464135,0.13828361098477923
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,5000,0.9,7.383333472334293e-07,1945,0.12759015374902669,0.0,0.212853470437018,0.25503377950706113
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,10000,0.9,7.383333472334293e-07,1243,0.18465994860562637,0.0,0.2912308930008045,0.4109492743021621
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,30000,0.9,7.383333472334293e-07,536,0.26653497552181143,0.0,0.4085820895522388,0.8377462429695055
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,100,0.95,0.007388124584146517,3345,0.05684134445867175,0.0,0.06367713004484304,0.0583727797660376
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,200,0.95,0.007388124584146517,3345,0.0629897912679163,0.0,0.07144992526158446,0.0665269837383058
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,500,0.95,0.007388124584146517,3345,0.07164732845032448,0.0,0.08789237668161436,0.08458416028398322
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,1000,0.95,0.007388124584146517,3345,0.08126347265552272,0.0,0.10762331838565023,0.10775040488050486
20260905T073818Z_e44d99bd,WE,BTC,fair_accel_100ms,2000,0.95,0.007388124584146517,2635,0.09354308518671763,0.0,0.1426944971537002,0.1569414812763393
