session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,200,0.9,0.936741357784372,2023,0.1711790826108581,0.0,0.24518042511122096,0.18409646605605717
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,500,0.9,0.936741357784372,2023,0.2481700002693494,0.0,0.33168561542263963,0.2783063183332808
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,1000,0.9,0.936741357784372,2023,0.357171605251166,0.0,0.4364804745427583,0.41436322381813345
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,2000,0.9,0.936741357784372,1452,0.46432038492928834,0.2553241606295664,0.553030303030303,0.5920345017116322
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,5000,0.9,0.936741357784372,920,0.6299855338043577,0.4955826447916589,0.6456521739130435,0.937631371799957
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,10000,0.9,0.936741357784372,612,0.7466182977542539,0.5926073412998445,0.6552287581699346,1.4091084707774773
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,30000,0.9,0.936741357784372,276,1.0121789234793392,0.9976571701364456,0.6413043478260869,2.4463042042187735
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,100,0.95,0.9752898400326442,1194,0.1642261081697389,0.0,0.2370184254606365,0.17433850253136532
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,200,0.95,0.9752898400326442,1194,0.23721435356194231,0.0,0.3224455611390285,0.251428012400417
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,500,0.95,0.9752898400326442,1194,0.3394767591791239,0.0,0.4296482412060301,0.36750725017340563
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,1000,0.95,0.9752898400326442,1194,0.44105466516682384,0.14017507105112958,0.5159128978224455,0.49097454685694086
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,2000,0.95,0.9752898400326442,910,0.5583529606374414,0.4451573860519975,0.6230769230769231,0.6829798746698164
