session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,10000,0.95,0.792020054783682,198,1.4930009733903622,0.702020202020202
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,30000,0.95,0.792020054783682,141,1.635732156576497,0.6737588652482269
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,1000,0.8,0.32343653099442976,2776,0.24525841419395958,0.33177233429394815
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,2000,0.8,0.32343653099442976,2037,0.3000449223940798,0.4369170348551792
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,5000,0.8,0.32343653099442976,1253,0.2935961991198777,0.5323224261771747
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,10000,0.8,0.32343653099442976,776,0.25252528223188075,0.529639175257732
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,30000,0.8,0.32343653099442976,317,0.30841940291131315,0.5299684542586751
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,1000,0.9,0.5537865489810456,1609,0.34052550400344156,0.3735239279055314
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,2000,0.9,0.5537865489810456,1270,0.42673559576651043,0.48976377952755906
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,5000,0.9,0.5537865489810456,866,0.4609662579284604,0.581986143187067
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,10000,0.9,0.5537865489810456,612,0.3501025193334617,0.5833333333333334
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,30000,0.9,0.5537865489810456,284,0.4254546394839091,0.5598591549295775
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,1000,0.95,0.7423005297732512,921,0.4356166408099259,0.4028230184581976
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,2000,0.95,0.7423005297732512,750,0.5165730313790048,0.5013333333333333
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,5000,0.95,0.7423005297732512,586,0.6483583212874826,0.5921501706484642
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,10000,0.95,0.7423005297732512,457,0.5815399710171666,0.5864332603938731
20260907T221751Z_3abdfd02,NEW12,ETH,leader1000_extOFI,30000,0.95,0.7423005297732512,240,0.49517318860752463,0.5625
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,1000,0.8,0.8608245047633707,3267,0.27385271675289313,0.35996326905417814
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,2000,0.8,0.8608245047633707,2130,0.3813282947736479,0.4830985915492958
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,5000,0.8,0.8608245047633707,1208,0.5308589484348205,0.5935430463576159
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,10000,0.8,0.8608245047633707,744,0.5954541112320523,0.6088709677419355
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,30000,0.8,0.8608245047633707,312,0.2505426242968318,0.5224358974358975
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,1000,0.9,0.939827795658645,1951,0.3686276505971522,0.4479753972321886
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,2000,0.9,0.939827795658645,1403,0.4631235581042204,0.5588025659301497
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,5000,0.9,0.939827795658645,896,0.6286618119494815,0.6450892857142857
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,10000,0.9,0.939827795658645,601,0.7980448162430535,0.653910149750416
20260908T074322Z_1057297f,NEW12,BTC,depthBoth,30000,0.9,0.939827795658645,277,1.007929747532454,0.6425992779783394
